"text","cmp_code","eu_code"
"CUMHURİYETÇİ  Millet Partisi","H",NA
"Program","H",NA
"Ankara  1954 – 15.4","H",NA
"Cumhuriyetçi Millet Partisi Programı","H",NA
"Madde — 1","H",NA
"CUMHURİYETÇİ MİLLET PARTİSİ'nin gayesi, Türkiye’de insan haklarını (*) hâkim kılacak ve bun¬ları güvenilir teminata bağlayacak bir Devlet niza¬mı kurmaktır.","201.2",NA
"Parti bu gayeye:a) Hürriyet, emniyet, müsavat ve adalet mefku¬relerine,","202.1",NA
"b) Millî hâkimiyet ve lâik cumhuriyet esaslarına,","203",NA
"c) Garp örneği demokrasi hukukuna,","202.1",NA
"d) Milliyetçilik akidesine, samimi surette bağlanmakla varılabileceğine kanidir.","601.1",NA
"Madde — 2","H",NA
"Parti, Anayasamızın bu gaye ve esaslara uygun bir hale konulmasını ve aşağıda gösterilen teminat prensipleriyle, bâzı yeni müesses elerin Anayasada sarih surette yer almasını lüzumlu görür.","204",NA
"{*) “İnsan Haklan Evrensel Beyannamesi” diğer sahifele¬re konmuştur.","201.2",NA
"Madde — 3","H",NA
"Anayasaya girmesini istediğimiz teminat prensipleri:a) Birleşmiş Milletlerce neşredilen “însan Hak- ları Dünya Beyannamesi” (*) ndeki hak ve hürriyet- lerin Anayasamızda açıkça ifade edilmesi ve temina- ta bağlanması,","201.2",NA
"b) Kanunların Anayasaya aykırılığı hakkında dâva hakkı tanınması,","202.1",NA
"c) Anayasaya aykırı kanun teklif edilememesi ve yapılamaması,","202.1",NA
"d) Anayasa tâdilinin bu günkünden daha temi- natlı şartlara bağlanması,","202.1",NA
"e) Mahkemelerin istiklâli ve hâkimlerin her türlü nüfuz ve tesirden uzak kalması hususunun Anayasa teminatı altına alınması,","202.1",NA
"f) Devlet memurlarının; hak, vazife ve mes’uliyetleri itibariyle tâbi olacaklari prensip kaidelerin Anayasada tâyin edilmesi,","202.1",NA
"g) Lâiklik, din ve vicdan hürriyeti gibi modern Devlet esaslarının Anayasa ile tarif ve tesbit olunması,","203",NA
"h) Siyasî partilerin Anayasaca tanınması ve te- minata bağlanmış müesseseler haline konulması.","202.1",NA
"(*) “insan Hakları Evrensel Beyannamesi” diğer sahifele- re konmuştur,","201.2",NA
"III Madde — 4","H",NA
"Anayasada yer almasmı istediğimiz müesseseler:a) CUMHURİYETÇİ MİLLET PARTİSİ naza- rında, Türkiyemizde ikinci bir meclis kurulması âcil bir zaruret halini almıştır.","202.3",NA
"Binaenaleyh; teşri salâ- hiyeti, şimdiki Millet Meclisi ile kurulacak ikinci meclis tarafından kullanılacaktır.","202.3",NA
"Her iki meclisin seçimi, teşekkülü, vazife ve sa- lâhiyetleri Anayasada gösterilecektir,","202.3",NA
"b) Anayasa mahkemesi :Teşekkül tarzı Anayasa ile tesbit edilmek sure- tiyle bir “Anayasa Mahkemesi” kurulacaktır.","202.1",NA
"Bu mahkeme kanunların Anayasaya aykırılığı dâvaları_ na hükmeder.","202.1",NA
"Seçim mazbataları hakkındaki ihtilâf- ları halleder ve Yüksek Seçim Kurulu vazifesini gö- rür ve siyasî partiler hakkında fesih kararı verir.","202.1",NA
"Anayasa Mahkemesi azalan teşriî meclislerde ve başka devlet hizmetlerinde vazife alamıyacakları gibi avukatlık da yapamazlar.","202.1",NA
"Madde — 5","H",NA
"Yüksek Hâkimler Meclisi :Teşekkül tarzı Anayasa ile tesbit edilmek ve teşri ve icra kuvvetleriyle hiç bir alâka ve münase- beti olmamak üzere bir “Yüksek Hâkimler Meclisi” kurulacaktır.","202.1",NA
"Hâkimlerin nasp ve tâyin, terfi, nakil ve tahvil ve diğer bütün zâtî ve inzibatî hususlara dâir karar vermek bu meclisin selâhiyetidir.","202.1",NA
"IV Madde — 6","H",NA
"Partinin, Cumhurreisi ve Hükûmet hakkındaki düşünceleri :a) Cumhurreisi, kongre halinde toplanan iki meclisli Parlâmento tarafından ve Parlâmento âzaları arasından, gizli reyle, yedi sene için seçilir.","202.3",NA
"Müddeti biten zat, bir devre geçmeden tekrar seçilemez.","202.3",NA
"b) Cumhurreisi vatana ihanet, Anayasa ve millî hâkimiyet rejimine sujkast ve tecavüz suçları müstesna olmak üzere, vazifesine dahil muamelelerden dolayı mes'ul değildir.","202.1",NA
"c) Cumhurreisi parti ve politika cereyanlarının, şahıs ve zümre menfaatlerinin dışında kalır.","202.3",NA
"d) Başvekil hariç, diğer vekiller parlâmento dı- şından alınabilirler.","202.3",NA
"e) Hükûmet, Millet Meclisinin her an itimadını haiz olmalıdır.","202.3",NA
"İkinci meclis üçte iki ekseriyetle ademi itimad beyan etmedikçe hükûmete itimad etmiş sayılır.","202.3",NA
"V Madde — 7","H",NA
"CUMHURİYETÇİ MİLLET PARTİSİ, Sağlık","504",NA
"- Sosyal yardım,","504",NA
"Millî Eğitim gibi memleket hizmet- lerinin esas itibariyle Devlete ait olduğunu kabul eder.","506",NA
"Bununla beraber bu sahalarda hususî teşebbüsün de Devlete yardımcı teşkilât vücude getirmesinde fayda görür.","401",NA
"Madde — 8","H",NA
"Memleketin imarı ve iktisaden kalkınması mev- zuunda partimiz, Devleti birinci derecede vazifeli te- lâkki eder.","404",NA
"Yolların ve limanların yapılması,","411",NA
"müna- kale imkân ve vasıtalarının temin ve islâhı,","411",NA
"büyük sulama tesisleriyle enerji santralarının kurulması,","411",NA
"memleket sanayiini geliştirecek ve canlandıracak im¬kânların hazırlanması gibi işler, millî kalkınma saha- sında Devlete düşen vazifelerdendir.","411",NA
"Bu faaliyetler dışında kalan saha hususî teşeb- büse ait olmalıdır.","401",NA
"Ancak, hususî teşebbüs gücünün kâfi gelmediği hususlarda Devlet teşvikçi ve yardım- cı olmalıdır.","402",NA
"Madde — 9","H",NA
"Emeğin istismarına yol açan faaliyetleri dur¬durmak,","701",NA
"kanunî veya fiilî her çeşit inhisarcılığa son vermek,","403",NA
"serbest rekabet sahasında Devlet lehindeki imtiyazları kaldırmak,","401",NA
"say ve sermaye münasebet¬lerinde hakkaniyeti hâkim ve memleket menfaatle¬rini nâzım kılmak emelimizdir.","202.1",NA
"Madde — 10","H",NA
"Partimiz, Devletin çiftçi","703.1",NA
"ve işçi hayatiyle daha yakından ilgilenmesini;","701",NA
"köye, köylüye","703.1",NA
"ve işçiye ait meselelerin birinci plânda ele alınmasını ister.","701",NA
"Bu¬nun için de bütün demokrat memleketlerde olduğu üzere İktisadî,","404",NA
"İçtimaî","601.1",NA
"ve kültürel sahalarda sür’atle ilerlemeği,","502",NA
"rasyonel ve koordine bir surette çalışmağı derpiş edip mümkün kılacak bir (plân-programın) mütehassislarca, vücude getirilmesini zarurî görür.","404",NA
"VI Madde — 11","H",NA
"Memleketimizin istiklâlini ve toprak bütünlüğü¬nü korumak, dış politikamızın temelidir.","601.1",NA
"Bütün sahalarda Milletlerin hukuk eşitliğine ve milletlerarası tesanüt ve işbirliğine taraftarız,","107",NA
"Millî varlığın; ancak millî güçle korunabileceği bir hakikat olmakla beraber,","104",NA
"Birleşmiş Milletler ide¬ali dairesinde kollektif güvene müstenid,","107",NA
"barışçı, açık ve dürüst bir dış siyasetin takibini, memleket menfaatlerine en uygun yol sayıyoruz","106",NA
". Haricî müna¬sebetlere ait temenni ve remzimiz, devamlı bir dünya sulhu içinde mes'ut bir Türkiye görmektir,","106",NA
"VII Madde — 12","H",NA
"Din ve Devlet işlerinin birbirinden ayrı olması,","203",NA
"Devlet ve Hükûmet işlerinde kanunların millet ihti- yaçlarına ve ilmin esaslarına göre hazırlanması ve tatbik edilmesi,","202.1",NA
"bunun yanında din ve vicdan hür- riyetinin diğer hak ve hürriyetler gibi mukaddes ta- nınması ve teminat altında bulundurulması, partimizin lâiklik görüşünün ifadesidir.","201.2",NA
"Lâiklik hiç bir zaman din düşmanlığı değildir.","203",NA
"Madde - 13","H",NA
"Bizim samimî surette bağlandığımız milliyetçilik; düşünce ve his birliğini","601.1",NA
"ve müşterek bir hayat ve istikbale inanışı tazammun eden","601.1",NA
"ve memleket içi münasebetlerde terbiyeci ve tesanütçü","601.1",NA
"ve milletlera¬rası münasebetlerde sulhçu ve insaniyetçi bir milli¬yetçiliktir.","106",NA
"Madde — 14","H",NA
"Memleketimizin vasıl olduğu terakki merhalesin- den geri götürecek bir zihniyeti red ettiğimiz gibi;","411",NA
"milletimizin bir an evvel muasır medeniyet seviye- sine ulaşması için lüzumlu hamlelerin yapılmasına taraftarız.","411",NA
"Madde — 15","H",NA
"Parti, kadınlara bütün sahalarda, erkeklerin haiz oldukları hakları tanır ve bu hulusun kanunlarla te- yidini ister,","503",NA
"Madde— 16","H",NA
"İnsan hak ve hürriyetlerini takyid eden komü- nist akideye muhalif olduğumuz gibi","201.2",NA
"memleketimiz de komünizm'in açıkça kanun dışı sayılması lüzumuna kaniiz.","103.1",NA
